codigo_consema,grupo
00.01.00,Outras Atividades
00.10.00,Outras Atividades
00.10.01,Outras Atividades
00.12.00,Outras Atividades
00.12.02,Outras Atividades
00.12.03,Outras Atividades
00.30.01,Outras Atividades
00.30.03,Outras Atividades
01.51.00,Outras Atividades
01.52.00,Outras Atividades
01.54.00,Outras Atividades
01.54.01,Outras Atividades
01.54.03,Outras Atividades
01.54.04,Outras Atividades
01.54.05,Outras Atividades
01.70.00,Outras Atividades
01.70.02,Outras Atividades
01.70.10,Outras Atividades
01.80.00,Outras Atividades
03.31.00,Outras Atividades
03.31.02,Outras Atividades
03.31.03,Outras Atividades
03.31.04,Outras Atividades
03.31.05,Outras Atividades
03.33.00,Outras Atividades
03.34.00,Outras Atividades
03.34.01,Outras Atividades
03.34.02,Outras Atividades
03.35.00,Outras Atividades
10.10.00,Atividade Industrial
10.20.00,Atividade Industrial
10.20.10,Atividade Industrial
10.30.00,Atividade Industrial
10.40.10,Atividade Industrial
10.50.10,Atividade Industrial
10.60.00,Atividade Industrial
11.00.03,Atividade Industrial
11.00.04,Atividade Industrial
11.00.08,Atividade Industrial
11.00.11,Atividade Industrial
11.00.15,Atividade Industrial
11.08.03,Atividade Industrial
11.11.03,Atividade Industrial
11.11.07,Atividade Industrial
11.11.11,Atividade Industrial
11.11.14,Atividade Industrial
11.11.15,Atividade Industrial
11.30.01,Atividade Industrial
11.40.01,Atividade Industrial
11.50.01,Atividade Industrial
11.50.02,Atividade Industrial
11.60.01,Atividade Industrial
11.60.02,Atividade Industrial
11.70.01,Atividade Industrial
11.70.02,Atividade Industrial
11.80.02,Atividade Industrial
11.90.01,Atividade Industrial
11.90.02,Atividade Industrial
12.10.00,Atividade Industrial
12.11.00,Atividade Industrial
12.20.00,Atividade Industrial
12.80.00,Atividade Industrial
12.80.10,Atividade Industrial
13.20.00,Atividade Industrial
13.60.00,Atividade Industrial
13.70.00,Atividade Industrial
13.90.00,Atividade Industrial
14.10.00,Atividade Industrial
15.10.00,Atividade Industrial
15.11.00,Atividade Industrial
15.12.00,Atividade Industrial
15.13.00,Atividade Industrial
15.31.00,Atividade Industrial
15.55.00,Atividade Industrial
16.10.00,Atividade Industrial
16.20.00,Atividade Industrial
16.50.00,Atividade Industrial
17.22.00,Atividade Industrial
17.30.00,Atividade Industrial
17.40.00,Atividade Industrial
17.60.00,Atividade Industrial
18.10.00,Atividade Industrial
18.20.00,Atividade Industrial
18.50.00,Atividade Industrial
19.11.00,Atividade Industrial
19.90.00,Atividade Industrial
20.20.00,Atividade Industrial
20.40.00,Atividade Industrial
20.72.00,Atividade Industrial
20.81.00,Atividade Industrial
20.83.00,Atividade Industrial
20.85.00,Atividade Industrial
21.10.00,Atividade Industrial
23.10.00,Atividade Industrial
23.21.00,Atividade Industrial
23.22.00,Atividade Industrial
24.11.00,Atividade Industrial
24.12.00,Atividade Industrial
24.13.00,Atividade Industrial
24.70.00,Atividade Industrial
24.80.00,Atividade Industrial
25.20.00,Atividade Industrial
26.00.00,Atividade Industrial
26.43.00,Atividade Industrial
26.50.01,Atividade Industrial
26.50.02,Atividade Industrial
26.50.20,Atividade Industrial
26.60.00,Atividade Industrial
26.70.00,Atividade Industrial
26.70.10,Atividade Industrial
26.91.00,Atividade Industrial
26.92.00,Atividade Industrial
26.94.00,Atividade Industrial
26.95.00,Atividade Industrial
27.10.00,Atividade Industrial
27.20.00,Atividade Industrial
27.40.00,Atividade Industrial
27.40.10,Atividade Industrial
28.10.00,Atividade Industrial
29.10.00,Atividade Industrial
30.10.00,Atividade Industrial
30.40.00,Atividade Industrial
30.70.00,Atividade Industrial
30.80.00,Atividade Industrial
30.90.00,Atividade Industrial
30.90.10,Atividade Industrial
33.12.00,Obras de Infraestrutura
33.12.02,Obras de Infraestrutura
33.13.00,Obras de Infraestrutura
33.13.05,Obras de Infraestrutura
33.13.19,Obras de Infraestrutura
33.13.20,Obras de Infraestrutura
33.13.27,Obras de Infraestrutura
33.13.28,Obras de Infraestrutura
33.20.00,Obras de Infraestrutura
33.20.01,Obras de Infraestrutura
33.30.00,Obras de Infraestrutura
34.11.02,Obras de Infraestrutura
34.11.04,Obras de Infraestrutura
34.11.06,Obras de Infraestrutura
34.12.00,Obras de Infraestrutura
34.15.00,Obras de Infraestrutura
34.16.00,Obras de Infraestrutura
34.16.10,Obras de Infraestrutura
34.20.00,Obras de Infraestrutura
34.31.00,Obras de Infraestrutura
34.31.01,Obras de Infraestrutura
34.31.11,Obras de Infraestrutura
34.31.13,Obras de Infraestrutura
34.41.13,Obras de Infraestrutura
34.41.15,Obras de Infraestrutura
34.41.16,Obras de Infraestrutura
34.41.17,Obras de Infraestrutura
42.32.00,Comércio Varejista e Atacadista
42.32.10,Comércio Varejista e Atacadista
42.32.20,Comércio Varejista e Atacadista
42.32.30,Comércio Varejista e Atacadista
42.32.40,Comércio Varejista e Atacadista
42.40.00,Comércio Varejista e Atacadista
43.01.00,Comércio Varejista e Atacadista
43.20.00,Comércio Varejista e Atacadista
43.20.10,Comércio Varejista e Atacadista
43.30.00,Comércio Varejista e Atacadista
43.40.00,Comércio Varejista e Atacadista
43.50.10,Comércio Varejista e Atacadista
47.84.00,Terminais de Transporte
47.85.00,Terminais de Transporte
47.86.00,Terminais de Transporte
56.11.00,Outras Atividades
56.11.01,Outras Atividades
56.20.00,Outras Atividades
71.00.00,Oficina Mecânica com Pintura
71.01.00,Empreendimentos Imobiliários
71.11.00,Empreendimentos Imobiliários
71.11.01,Empreendimentos Imobiliários
71.11.02,Empreendimentos Imobiliários
71.11.03,Empreendimentos Imobiliários
71.11.05,Empreendimentos Imobiliários
71.11.06,Empreendimentos Imobiliários
71.11.07,Empreendimentos Imobiliários
71.11.08,Empreendimentos Imobiliários
71.21.10,Empreendimentos Imobiliários
71.21.11,Empreendimentos Imobiliários
71.30.01,Resíduos Sólidos
71.30.02,Resíduos Sólidos
71.30.03,Resíduos Sólidos
71.30.04,Resíduos Sólidos
71.50.00,Resíduos Sólidos
71.60.02,Resíduos Sólidos
71.60.05,Resíduos Sólidos
71.60.06,Resíduos Sólidos
71.60.08,Resíduos Sólidos
71.60.12,Resíduos Sólidos
71.60.13,Resíduos Sólidos
71.70.10,Outras Atividades
71.80.00,Outras Atividades
71.80.01,Outras Atividades
71.90.01,Outras Atividades
71.90.04,Outras Atividades
71.91.00,Outras Atividades
